BUSINESS ADMINISTRATION CORE EXAM,Text,A.,B.,C.,D.,Answer,Why,isSelected,Selected Letter
33,Which of the following is a reason to avoid lying:,Lies can help you gain respect.,Lies are hard to keep track of.,Lies can get you out of trouble.,Lies may turn a bad situation around.,B,"Lies are hard to keep track of. Honesty is the best policy. It's hard to keep track of lies, and they tend to  sneak up on you after a while. Lies may get you out of trouble or turn a bad situation around for a short  time, but, in the end, you will be in more trouble for lying. Liars lose respect, never gain it.",false,
34,Bill punishes each of his staff exactly the same way when they break the rules. Bill is being,generous.,empathetic.,biased.,consistent.,D,"Consistent. Consistency means treating everyone the same regardless of the situation or circumstances.  Since Bill treats all of his staff the same way, he is being consistent. This situation does not show that Bill  is empathetic, biased, or generous.",false,
35,Which of the following is an example of a limited decision:,Brushing your teeth,Buying a jacket,Ordering lunch,Getting married,B,Buying a jacket. Buying a jacket is a limited decision that is not made frequently and involves some  degree of consideration. Brushing your teeth and ordering lunch are everyday decisions that are  considered routine decisions. Getting married is an extensive decision because it carries a lot of risk and  a long-term impact.,false,
36,"You want to get straight A's and impress your teachers, so you consider cheating on tests to make sure  you do well. You're facing an ethical dilemma because of your",desire to prove yourself.,conflicting values.,pressure from others.,bad role models.,A,"Desire to prove yourself. The desire to look good at work or at school can lead to ethical dilemmas. If, for  example, you want to prove yourself at school, you may be tempted to cheat on your tests. This is not an  example of being influenced by conflicting values, pressure from others, or bad role models.",false,
37,"Jon is constantly checking and responding to email during the workday. Because of this, it takes him  twice as long to finish writing a report. This is an example of how",perfectionism allows people to better manage commitments.,organization leads to overcommitment.,commitment leads to professional success.,technology hampers one's ability to manage commitments.,D,"Technology hampers one's ability to manage commitments. Technology makes it difficult to manage  commitments because it is easier to do more—and to do more at once. Jon finds it difficult to focus on  getting one task done because of the constant presence of his email, prompting him to take on other  commitments before he finishes the first. This is not an example of how organization leads to  overcommitment, how commitment leads to professional success, or how perfectionism allows people to  better manage commitments.",false,
38,"Jennifer is a person who exhibits self-control in difficult situations. She always remains calm, is patient,  empathetic, and a good listener. Her self-control helps her",avoid a factual response.,express a negative reaction.,have a positive attitude.,react in a defensive manner.,C,"Have a positive attitude. Self-control helps you have a positive attitude, which is very important to  successful living. Self-control helps you replace negative thoughts with positive approaches to problems.  In this example, Jennifer's self-control helped remind her that life may be full of difficult situations, but it is  also full of opportunities. Self-control helps people in difficult situations avoid reacting negatively or in a  defensive manner. People who exhibit self-control often are able to respond factually, even in difficult  situations.",false,
39,You should expect some criticism on your job performance because a certain amount of criticism on the  job is,cruel.,tolerable.,necessary.,senseless.,C,Necessary. Criticism is used by your employer or supervisor to let you know how you can improve your  job performance. It lets you know what you are doing wrong and what is expected of you. Constructive  criticism is not cruel or senseless. Fair criticism is not only tolerable but valuable and desirable.,false,
40,Why should a business inform employees that their email will be monitored?,To reduce its liability,To communicate policies,To respect their privacy,To control operating costs,C,"To respect their privacy. Some businesses consider email to be corporate property and routinely monitor  the messages that employees send and receive. If a business monitors email, it should inform its  employees in order to respect their privacy. Employees have the right to know if someone in the business  will read their email so that they can decide the type of information they will include. They might not want  to send or receive personal messages if they know a manager might read their mail. A business that  informs employees that their email will be monitored is communicating a policy. Businesses do not inform  employees that their email will be monitored to reduce their liability or to control operating costs.",false,
41,"When the company president finished his speech complimenting the staff on their work and promising  raises and bonuses, the staff members rose to their feet and applauded him. The staff members were  expressing their approval through",sign language.,nonverbal communication.,animated conversation.,inappropriate behavior.,B,"Nonverbal communication. Nonverbal communication is forms of communication that do not involve the  use of words. It may include facial expression, body posture or movement, eye contact, and appearance.  In this situation, the staff members are using body movements to express approval. This is not  inappropriate behavior. The group is making an animated response, but it does not involve conversation  or sign language, which is a formal kind of communication method using signs to represent letters and  words.",false,
42,"Individuals who respect their own personal rights, as well as the rights of others, have developed",passiveness.,defensiveness.,assertiveness.,aggressiveness.,C,"Assertiveness. Assertiveness is a positive trait that is vital to personal happiness and career success.  Passiveness is the failure to exercise personal rights and a lack of respect for personal needs.  Defensiveness is an attitude of constantly expecting to be attacked. Aggressiveness is a negative trait,  and aggressive behavior is characterized by a willingness to ignore the rights of others and to exploit  them to achieve personal goals.",false,
43,The goal of quality circles is to,complete a specific one-time task.,improve performance in many areas.,solve a large organizational problem.,increase social contact among organizations.,B,"Improve performance in many areas. A quality circle is a team of employees with similar roles who meet  regularly to discuss issues and solve problems. Quality circles stay intact from project to project and seek  to make improvements in a wide range of areas across the organization. Quality circles generally do not  seek to solve a large organizational problem, complete a specific one-time task, or increase social  contact among organizations.",false,
44,"Sasha is tempted to look up the answers to her homework problems. She knows she will not get caught,  and she doesn't think the homework is helpful. How could you best help Sasha in this situation?",Show her why ethical behavior is valuable to her and others.,Report Sasha's behavior to your teacher.,Follow the rules and hope Sasha notices.,Tell Sasha that you do not approve of her decision to cheat.,A,"Show her why ethical behavior is valuable to her and others. Many people ignore ethics because they  don't realize how important ethics are—and how serious the consequences of unethical behavior can be.  Sasha does not see the importance of behaving ethically in regard to her homework. To best help her,  you should make sure she understands why it is important to be ethical. She will then be more likely to do  so. You should not necessarily report her behavior to your teacher because Sasha has not done anything  wrong, yet. While it is a good idea to follow the rules, Sasha's belief that ethics aren't valuable likely won't  change just from noticing what you do. Finally, telling Sasha that you do not approve of her decision to  cheat wouldn't be as effective as explaining why ethical behavior is valuable.",false,
45,One way to develop an achievement orientation is to establish,personal relationships.,flexible deadlines.,reachable goals.,safe conditions.,C,"Reachable goals. Individuals who have an achievement orientation want to do their best and be  successful. One way to develop an achievement orientation is to establish reachable goals. Achieving  goals builds confidence and self-esteem and encourages individuals to continue achieving. If the goals  are unrealistic, individuals might fail, which often leads to giving up rather than trying to achieve in the  future. To achieve the goals, it is often necessary to establish firm deadlines. Establishing personal  relationships and safe conditions are not ways of developing an achievement orientation.",false,
46,What should change leaders do after they're done leading a change?,Celebrate success.,Address resistance.,Explain why the change was necessary.,Create a communication plan.,A,"Celebrate success. Leading change can be a long, hard process. Change leaders should celebrate a  successful change with everyone who was involved. They should address resistance before the change  is complete. Explaining why the change is necessary and creating a communication plan are tasks that  should be done early in the change process.",false,
47,"When management and employees have the same idea of what the business is capable of being in the  future, they are sharing a(n)",vision.,goal.,dream.,idea.,A,"Vision. A vision for a business is what the business wants to become. Management and employees have  a shared vision when they have the same idea of what the business is capable of being in the future.  When everyone in the business shares the vision, that vision has a better chance of becoming a reality  because everyone is working for the same future. A business might realize a vision by setting several  goals to achieve. A vision is more than a dream or an idea.",false,
48,Calling in sick only if you are truly sick is an example of what type of behavior that builds positive working  relationships?,Carrying your own weight,Getting to know others on your work team,Having a good attitude,Being cooperative,A,"Carrying your own weight. Calling in sick only if you are truly sick is an example of carrying your own  weight in the process of building positive working relationships. When you carry your own weight, you are  not making your coworkers pick up unnecessary slack. Although calling in only when you're truly sick  does not demonstrate getting to know others on your work team, your honesty does relate to having a  good attitude and being cooperative. The example is best, however, for carrying your own weight as you  foster positive working relationships.",false,
49,It is important to learn how to handle conflicting viewpoints because,it is impossible for people to change their minds.,other people's opinions are generally wrong.,you need to know how to convince others that you are right.,you will face conflicting viewpoints many times in life.,D,"You will face conflicting viewpoints many times in life. There will be plenty of instances in your life when  you will be confronted with viewpoints and opinions that conflict with each other, including at home, at  school, and at work. It is important, therefore, that you learn how to handle them so that you can be a  successful student, employee, and citizen. Other people's opinions are not always wrong, and you don't  need to know how to convince others that you are right. It is not impossible for people to change their  minds.",false,
50,Which of the following is an ethical issue:,Deciding whether to have french fries or a salad,Deciding whether to lie to a friend,Choosing between buying a new shirt or a new book,Choosing which movie to see this weekend,B,"Deciding whether to lie to a friend. When you're dealing with an ethical situation, you're deciding whether  something is right or wrong. Often in an ethical situation, if you pick the wrong choice, someone (or  something) could be harmed. This doesn't necessarily mean that the issue must be life or death, but that  the wrong action could cause someone or something to be hurt. When you're deciding whether or not to  lie to a friend, there is a right and wrong decision. There is no right or wrong decision when you're  deciding what to eat for lunch, what to buy, or what movie to see.",false,
51,Coins and paper money are types of,dividends.,contracts.,bonds.,currency.,D,"Currency. Currency is the money that a country uses to buy and sell goods and services. There are  several types of currency. For example, coins and paper money are types of currency because they can  be used to buy products. Coins and paper money generally are used by individuals to purchase the  products they need. Bonds are interest-bearing certificates issued by the government that promise to pay  bond owners a certain sum at a specified time. A dividend is a sum of money paid to an investor or  stockholder as earnings on an investment. Dividends are often sent to the investor in the form of a check.  A contract is a legal agreement between two or more businesses stating that one party is to do  something in return for something provided by another party.",false,
52,Investing can help build wealth because it,eliminates the need to save for retirement.,guarantees that you will not lose any money.,doesn't require any money to start investing.,increases your savings over your lifetime.,D,"Increases your savings over your lifetime. Investing can help you build wealth and meet your financial  goals because it often increases the value of your money over time. Investing does not guarantee that  you will not lose any money; however, if you invest wisely, it is unlikely that you will suffer significant  losses overall. Investing does require money to begin, but it does not require a lot of money. You can  invest as little or as much as you would like. While investing can be a good way to ensure your future  financial health, it does not eliminate the need to save for retirement.",false,
53,The Fair Credit Reporting Act is important to consumers because it,provides guidelines that institutions must use in extending credit.,gives them the right to inspect the files of their credit history.,ensures that they are not denied credit for any discriminatory reason.,makes it easy for them to compare the terms of different credit systems.,B,"Gives them the right to inspect the files of their credit history. This lets the consumer make sure that there  are no errors in the report or, if errors exist, to have them corrected. The Truth-in-Lending Act makes it  easy for consumers to compare the terms of different credit systems and provides guidelines that  institutions must use in extending credit. The Equal Credit Opportunity Act protects consumers from  being discriminated against when applying for credit.",false,
54,What course of action can a lender take if a debtor's account is past due?,Claim defamation,File a judicial lien,Apply for bankruptcy,Liquidate assets,B,"File a judicial lien. A lien is a legal claim to an item of property that protects the seller if the buyer does  not complete his/her payments. If a debtor does not make payments as promised, the lender can take  legal action to obtain the debtor's assets or items of collateral, such as a home, car, etc. The debtor,  rather than the lender, may need to liquidate assets to fulfill her/his legal obligation to the lender. If the  debtor doesn't have any assets, s/he may need to file for bankruptcy. Defamation involves writing or  saying something that damages an individual's or an organization's reputation.",false,
55,"A government charges a $0.184 tax on each gallon of gasoline, regardless of location or price. This is an  example of __________ tax.",sales,excise,estate,capital gains,B,"Excise. Excise taxes are specific, targeted taxes that are applied to specific goods and use a flat rate. In  contrast, sales tax applies to almost every purchase and is a percentage of the sale price. Sales taxes  also vary by state and by the type of item bought. Estate tax is imposed on the transfer of property upon  the death of the owner. Capital gains tax is charged on profits made from the sale of assets such as  stock or real estate.",false,
56,"When writing a check, what information goes after the phrase “Pay to the order of”?",Your signature,The amount paid,The name of the recipient,The current date,C,"The name of the recipient. When writing a check, the name of the check's recipient goes on the line after  the phrase ""Pay to the order of."" The amount paid goes on the line below. The signature goes in the  bottom right corner. The current date goes in the top right corner.",false,
57,Why is it important to read and reconcile bank statements?,To balance an account,To calculate interest,To withdraw excess money,To make a deposit,A,"To balance an account. Reconciling bank statements involves comparing the entries in a checkbook with  the entries listed on the bank statement. This procedure is also known as balancing an account. The  purpose is to determine the actual amount of money that is in the account. To do this, it may be  necessary to add in deposits that have not been posted or subtract checks that have not cleared. If the  checking account pays interest, that amount will be listed on the bank statement. It is not necessary to  read and reconcile bank statements to withdraw excess money or to make a deposit.",false,
58,Who is responsible for verifying that all the information reported on a consumer's credit report accurately  reflects his/her personal transactions?,Organizations reporting consumer payments,Credit bureaus,Organizations that have extended credit,Consumers,D,"Consumers. Consumers should monitor their credit reports because an error could be made by any  organization contributing information to a credit bureau. Monitoring credit reports is also helpful in  detecting fraud. Credit bureaus can help resolve errors on a consumer's credit report, but they are not  responsible for verifying all the credit information contained within a report. Organizations that have  extended credit or reported consumer payments can only verify transactions that involved those  organizations.",false,
59,"Which of the following is a tool that often helps individuals organize and manage their mortgage, utility,  and insurance bills:",Credit report,Scatter chart,Daily work calendar,Monthly payment schedule,D,"Monthly payment schedule. Developing a monthly payment schedule can help individuals organize,  manage, and pay their bills on time. Computer spreadsheets, schedule templates, and calendars are  several effective ways to manage the bill-paying process. Regardless of the format used, individuals  should note the payee's name, amount due, due date, date paid, and the method of payment. If writing a  check, the check number should also be noted on the payment schedule. Individuals do not organize and  manage their bills by using a scatter chart, a work calendar, or credit report.",false,
60,"Craig recently opened a new credit card account. Since he's short on cash, he decides to make only the  minimum payments toward his debt each month. At the end of the year, however, he notices that his  overall balance has gone up quite a bit. This is a result of",the cost of credit.,income tax.,social security.,Craig's credit score.,A,"The cost of credit. When you take out a line of credit, you agree to terms and conditions that outline how  and when you will pay the money back. Most lines of credit have interest rates, which means that the  lender can collect additional money from you if you fail to pay back the loan by a certain time. By making  only the minimum payment each month, Craig's credit balance would have increased due to accumulated  interest. The increased balance would not be a result of income tax, social security, or Craig's credit  score.",false,
61,"If Diedra wants to open a savings account to save money for her dream vacation, she should place her  money in a deposit-taking institution, such as a(n)",investment bank or mortgage company.,savings and loan bank or investment bank.,commercial bank or credit union.,mortgage company or credit union.,C,"Commercial bank or credit union. Savings and loan banks, commercial banks, and credit unions are  depositing-taking institutions. A credit union is a nonprofit financial cooperative set up to provide savings  and credit services to its members, who own the credit union. Commercial banks offer a variety of  services for consumers including checking and savings accounts, credit cards, and automobile loans. A  savings and loan bank is a financial institution that offers savings accounts and makes loans to  borrowers, most of which are for real-estate purchases. An investment bank is a financial intermediary  that underwrites securities and facilitates mergers. A mortgage company specializes in real-estate  (property) loans.",false,
62,Which of the following statements is true of good investment brokers:,They are an investor's personal link to the stock exchange.,Most of them are research analysts.,They are responsible for making sure the investor makes money.,They control an investor's money.,A,"They are an investor's personal link to the stock exchange. Investment brokers are licensed and  registered ""middlemen""—without them, you can't invest. Brokers are the only people who are authorized  to buy and sell securities, so they are an investor's personal link to the stock exchange. Brokers are not  research analysts. Research analysis is a separate part of a brokerage house where in-depth  investigation of companies and industries takes place. Brokers are salespeople—they get paid to make  transactions for investors. Brokers are responsible for providing suitable investment council at all times,  but this doesn't necessarily mean they're responsible for making the investor money. It just means that  the advice a broker gives has to make sense for the present financial situation. Good brokers realize that  the investor is ultimately in control of his or her own money. While a broker can make suggestions for the  investor to consider, s/he shouldn't pressure the investor into making any decisions.",false,
